trial,cv_auprc
0,0.9412552796611683
1,0.9381490964989746
2,0.9408219373490411
3,0.9373534224177618
4,0.941304374757358
5,0.9338812803099714
6,0.9424255115967547
7,0.9338074564038887
8,0.9405080655476313
9,0.9415135606526592
10,0.9423044663354887
11,0.942508535975405
12,0.9421564081593441
13,0.9421196656910634
14,0.9421977366663123
15,0.9424973345829513
16,0.9410665221096692
17,0.9422642343926407
18,0.9387837133125764
19,0.9413813261888194
20,0.942419580925332
21,0.9424846882918025
22,0.942531140604725
23,0.9424684468884401
24,0.9422582717351149
25,0.941553436730695
26,0.9419745431067443
27,0.9412201843959643
28,0.9423330446485684
29,0.9411946541324225
