feature,coefficient
vasopressor_flag,-3.0158705294895047
norepi_dose_max,1.561120547129639
bicarbonate_mean,0.821941319188123
bicarbonate_min,-0.8107659202520797
hr_mean,0.7215002456867993
shock_index_mean,-0.6921510562257354
vasopressor_hours,0.6621797823504897
sbp_mean,-0.3865042748433382
sodium_min,0.3769811357435867
temp_max,-0.3506277408814163
sodium_max,-0.29315188860332475
lactate_max,0.2923603732920418
map_mean,-0.2880673998858708
map_below65_hours,-0.2854793544303546
lactate_mean,-0.28397588151550907
temp_mean,0.25075872788306086
spo2_mean,0.21980624873752225
hemoglobin_min,0.21870217712339673
hemoglobin_mean,-0.1604921802672048
bun_cr_ratio,-0.14081369607034694
sbp_min,-0.1376687625412966
map_min,-0.10601360107535365
potassium_mean,0.1008117076492106
bun_max,0.09144874588069683
hr_max,-0.07791826965943473
potassium_max,-0.05817507371470728
rr_mean,-0.011877382220332577
spo2_min,-0.0020600965233519473
rr_max,0.0005701871328998649
