threshold,precision,recall,specificity
0.1,0.2576697127937337,0.9874921826141339,0.0439260193358554
0.11,0.25861503117820805,0.9856160100062539,0.05044136191677175
0.12,0.2594487539197887,0.9831144465290806,0.0569567044976881
0.13,0.26074688796680495,0.9824890556597874,0.06389239176124423
0.13999999999999999,0.26128978503582734,0.9806128830519074,0.06830601092896176
0.14999999999999997,0.262267626863172,0.9793621013133208,0.07419083648591845
0.15999999999999998,0.2629897427274256,0.9781113195747342,0.07881462799495587
0.16999999999999998,0.2646809950922322,0.9781113195747342,0.08680117696511139
0.17999999999999997,0.2662348730185785,0.9768605378361476,0.09520807061790669
0.18999999999999995,0.2672961373390558,0.9737335834896811,0.10298444724674233
0.19999999999999996,0.2682674036966661,0.9712320200125079,0.10970996216897856
0.20999999999999996,0.2697391304347826,0.9699812382739212,0.11748633879781421
0.21999999999999995,0.27129337539432175,0.9681050656660413,0.12610340479192939
0.22999999999999995,0.2728558797524315,0.9649781113195748,0.13577133249264398
0.23999999999999994,0.27495090162470986,0.9631019387116948,0.14649012189995797
0.24999999999999992,0.2770063119927863,0.9606003752345216,0.15741908364859183
0.2599999999999999,0.2789808917197452,0.9587242026266416,0.16729718369062632
0.2699999999999999,0.2803532008830022,0.9530956848030019,0.17780580075662042
0.2799999999999999,0.28305400372439476,0.9505941213258287,0.19083648591845312
0.2899999999999999,0.28568734678483876,0.9474671669793621,0.20386717108028585
0.29999999999999993,0.2882262996941896,0.943089430894309,0.21731820092475831
0.30999999999999994,0.2915129151291513,0.9387116948092558,0.23329129886506936
0.3199999999999999,0.29541864139020535,0.9355847404627893,0.25010508617065996
0.32999999999999985,0.2984775641025641,0.9318323952470294,0.2639764606977722
0.33999999999999986,0.3017293997965412,0.9274546591619762,0.2786885245901639
0.34999999999999987,0.30564166150030997,0.924953095684803,0.2938209331651955
0.3599999999999999,0.3103811328700779,0.9218261413383365,0.31168558217738546
0.3699999999999999,0.31498929336188436,0.9199499687304565,0.3276586801176965
0.3799999999999999,0.3211150131694469,0.9149468417761101,0.349936948297604
0.3899999999999999,0.32513416815742396,0.9093183239524703,0.3656998738965952
0.3999999999999998,0.3311985361390668,0.9055659787367104,0.38545607398066417
0.4099999999999998,0.3364442370508633,0.9018136335209506,0.40226986128625475
0.4199999999999998,0.3417480352464873,0.8974358974358975,0.4190836485918453
0.4299999999999998,0.3501716527709662,0.8930581613508443,0.4430432955023119
0.43999999999999984,0.357035175879397,0.8886804252657912,0.4621689785624212
0.44999999999999984,0.3650670794633643,0.8849280800500313,0.4827658680117696
0.45999999999999985,0.3753650119458455,0.884302689180738,0.505464480874317
0.46999999999999986,0.3831699346405229,0.8799249530956847,0.5239596469104666
0.47999999999999976,0.39197966676080204,0.868042526579112,0.5474989491382934
0.48999999999999977,0.40404336360972753,0.8624140087554721,0.5725094577553594
0.4999999999999998,0.41476754785779396,0.8536585365853658,0.5952080706179067
0.5099999999999998,0.4261829652996845,0.8449030644152595,0.617696511139134
0.5199999999999998,0.4368455497382199,0.8348968105065666,0.6382934005884826
0.5299999999999998,0.4512278308321965,0.8273921200750469,0.6618327028163093
0.5399999999999998,0.4625176803394625,0.8180112570356473,0.6805380411937789
0.5499999999999998,0.4772811230144071,0.8080050031269543,0.7026061370323665
0.5599999999999997,0.49264136328427577,0.7954971857410882,0.7246742328709542
0.5699999999999997,0.5050586806960745,0.7804878048780488,0.742959226565784
0.5799999999999997,0.519711742263671,0.766729205753596,0.7618747372845733
0.5899999999999997,0.14748784440842788,0.11382113821138211,0.7788986969314838
