trial,cv_auprc
0,0.992930955011998
1,0.9930021427338991
2,0.9880384787819263
3,0.9920313159976397
4,0.9887368106528165
5,0.9888722476364051
6,0.9932465449943167
7,0.9934291461256685
8,0.9920514792404054
9,0.9933645941469568
10,0.9931916955810973
11,0.993527500660847
12,0.993506181359462
13,0.9934081154124739
14,0.9931109375618709
15,0.9935202557338402
16,0.9934860763377378
17,0.9931989187438532
18,0.9933941773246907
19,0.9920227923656946
20,0.993185054430929
21,0.9934786109302702
22,0.993541938935057
23,0.9935450260145112
24,0.9935450260145112
25,0.9934896689417189
26,0.9932183806278116
27,0.993471988630166
28,0.9932315291445601
29,0.9933693491261343
