threshold,precision,recall,specificity
0.1,0.3748235294117647,0.9962476547842402,0.4415720891130727
0.11,0.3810093279119828,0.9962476547842402,0.4560739806641446
0.12,0.3859393939393939,0.9956222639149468,0.4676334594367381
0.13,0.3908130680422501,0.9949968730456535,0.4787725935266919
0.13999999999999999,0.39745191106669997,0.9949968730456535,0.4930643127364439
0.14999999999999997,0.4023773394031361,0.9949968730456535,0.5033627574611181
0.15999999999999998,0.40753073770491804,0.9949968730456535,0.5138713745271122
0.16999999999999998,0.4122374902774177,0.9943714821763602,0.5235393022278269
0.17999999999999997,0.41798107255520506,0.9943714821763602,0.5346784363177806
0.18999999999999995,0.4228312932410857,0.9937460913070669,0.5441361916771753
0.19999999999999996,0.4284173631706659,0.9937460913070669,0.5544346364018495
0.20999999999999996,0.434235712332513,0.9931207004377736,0.5651534258091635
0.21999999999999995,0.43900414937759336,0.9924953095684803,0.5737704918032787
0.22999999999999995,0.44372900335946247,0.9912445278298937,0.5823875577973938
0.23999999999999994,0.4478076379066478,0.9899937460913071,0.5897435897435898
0.24999999999999992,0.45293276108726754,0.9899937460913071,0.598150483396385
0.2599999999999999,0.4574898785425101,0.9893683552220137,0.6057166876839007
0.2699999999999999,0.4614935822637106,0.9893683552220137,0.6120218579234973
0.2799999999999999,0.4658220388921626,0.9887429643527205,0.6189575451870534
0.2899999999999999,0.47137745974955275,0.9887429643527205,0.6273644388398487
0.29999999999999993,0.4746017433122934,0.9874921826141339,0.6326187473728457
0.30999999999999994,0.47947704469443597,0.9862414008755472,0.6401849516603615
0.3199999999999999,0.48460591133004927,0.9843652282676673,0.648171500630517
0.32999999999999985,0.4897067997504679,0.981863664790494,0.6561580496006726
0.33999999999999986,0.4946338383838384,0.9799874921826142,0.6635140815468684
0.34999999999999987,0.4979305953517988,0.9781113195747342,0.6685582177385456
0.3599999999999999,0.5033816425120773,0.9774859287054409,0.6759142496847415
0.3699999999999999,0.5092924682099772,0.9768605378361476,0.6836906263135771
0.3799999999999999,0.5146913172664246,0.9749843652282677,0.691046658259773
0.3899999999999999,0.5188019966722129,0.9749843652282677,0.6960907944514502
0.3999999999999998,0.5224681421864521,0.9743589743589743,0.7007145859604876
0.4099999999999998,0.5288526816021725,0.9743589743589743,0.7082807902480034
0.4199999999999998,0.532329798152583,0.9731081926203877,0.7126944094157209
0.4299999999999998,0.5381414701803051,0.9706066291432145,0.7200504413619168
0.43999999999999984,0.5435393258426966,0.9681050656660413,0.726775956284153
0.44999999999999984,0.5491657791977281,0.967479674796748,0.7330811265237495
0.45999999999999985,0.555316091954023,0.9668542839274546,0.7398066414459857
0.46999999999999986,0.5621129326047359,0.9649781113195748,0.7473728457335015
0.47999999999999976,0.5677371723883352,0.9618511569731082,0.7538881883144178
0.48999999999999977,0.5735074626865672,0.9612257661038149,0.7597730138713745
0.4999999999999998,0.5793650793650794,0.9587242026266416,0.766078184110971
0.5099999999999998,0.584480122324159,0.9562226391494684,0.7715426649852879
0.5199999999999998,0.5898724391186703,0.9543464665415885,0.7770071458596048
0.5299999999999998,0.594679186228482,0.9505941213258287,0.782261454392602
0.5399999999999998,0.6015873015873016,0.9480925578486554,0.7889869693148381
0.5499999999999998,0.6077880369329587,0.9468417761100688,0.794661622530475
0.5599999999999997,0.6134146341463415,0.9437148217636022,0.800126103404792
0.5699999999999997,0.6176591375770021,0.9405878674171357,0.8043295502311896
0.5799999999999997,0.6244796003330558,0.9380863039399625,0.8104245481294662
0.5899999999999997,0.6314237573715249,0.9374609130706691,0.8160992013451029
0.5999999999999998,0.6359368331199318,0.9318323952470294,0.8207229928541404
0.6099999999999998,0.6402412753123654,0.9293308317698562,0.8245060949978983
0.6199999999999998,0.6472902097902098,0.9262038774233896,0.830390920554855
0.6299999999999997,0.6546826453617399,0.9224515322076298,0.8364859184531316
0.6399999999999997,0.6620162016201621,0.9199499687304565,0.8421605716687683
0.6499999999999997,0.670018281535649,0.9168230143839899,0.848255569567045
0.6599999999999997,0.6750232126276694,0.9093183239524703,0.8528793610760824
0.6699999999999997,0.6837888784165881,0.9074421513445904,0.8589743589743589
0.6799999999999997,0.3966165413533835,0.26391494684177613,0.8650693568726355
0.6899999999999997,0.4021317829457364,0.2595372107567229,0.8703236654056327
0.6999999999999996,0.40733399405351833,0.2570356472795497,0.8743169398907104
0.7099999999999996,0.4117647058823529,0.25390869293308316,0.8781000420344682
0.7199999999999996,0.4244984160506864,0.25140712945590993,0.8854560739806642
0.7299999999999996,0.43681917211328974,0.2507817385866166,0.8913408995376209
0.7399999999999997,0.43968432919954903,0.24390243902439024,0.8955443463640185
0.7499999999999997,0.445993031358885,0.2401500938086304,0.8997477931904161
0.7599999999999997,0.4541120381406436,0.23827392120075047,0.9037410676754939
0.7699999999999997,0.4601990049751244,0.2313946216385241,0.9087852038671711
0.7799999999999997,0.4652061855670103,0.2257661038148843,0.9127784783522488
0.7899999999999996,0.48,0.225140712945591,0.9180327868852459
0.7999999999999996,0.49445983379501385,0.22326454033771106,0.9232870954182429
0.8099999999999996,0.5028571428571429,0.22013758599124453,0.926860025220681
0.8199999999999996,0.5194029850746269,0.2176360225140713,0.932324506094998
0.8299999999999996,0.5353218210361067,0.21325828642901815,0.9377889869693148
0.8399999999999996,0.5537459283387622,0.21263289555972484,0.9424127784783523
0.8499999999999996,0.5619694397283531,0.20700437773608504,0.9457755359394704
0.8599999999999995,0.5818505338078291,0.2045028142589118,0.9506094997898277
0.8699999999999996,0.6033519553072626,0.2026266416510319,0.955233291298865
0.8799999999999996,0.6203522504892368,0.19824890556597874,0.9592265657839428
0.8899999999999996,0.65,0.1951219512195122,0.9646910466582598
0.8999999999999996,0.6813186813186813,0.1938711694809256,0.9695250105086171
