feature,importance
urine_output_6h,0.1412412777686813
shock_index_mean,0.10542228126233713
map_mean,0.08438129024091981
urine_output_sum,0.08294341939697922
sbp_mean,0.07982830697985531
rr_mean,0.06365911035378509
hr_mean,0.06295460202345643
spo2_mean,0.056635213083029504
temp_mean,0.056407918091978954
map_min,0.047311934240855204
sbp_min,0.04616267242523858
hr_max,0.04457088927598223
rr_max,0.036253957259265855
temp_max,0.01950243250389802
map_below65_hours,0.01942465828053087
spo2_min,0.009691474526681709
bun_max,0.009022100085046333
vasopressor_hours,0.00505391302985863
hemoglobin_min,0.004567472687661035
sodium_min,0.004170981943744445
bun_cr_ratio,0.003823387131380048
hemoglobin_mean,0.0031965466309777715
oliguria_flag,0.003124749598115536
bicarbonate_mean,0.0013584434933523344
norepi_dose_max,0.001264919393481351
lactate_mean,0.001097141679552196
creatinine_max,0.0010772555592287788
lactate_max,0.001012174968332133
sodium_max,0.0008769362181296205
potassium_max,0.0008755284725596247
potassium_mean,0.0008714019814112507
creatinine_min,0.0008563069721036437
vasopressor_flag,0.0008239424799785214
bicarbonate_min,0.00044893070142870174
creatinine_delta,8.642926018273467e-05
