trial,auprc
0,0.9934016819417517
1,0.994494643452856
2,0.9940860830208834
3,0.9944110959058635
4,0.9935305468697335
5,0.9934759672759164
6,0.9934849942428972
7,0.9940080684451449
8,0.9941762505185238
9,0.9883907554623452
10,0.9942847238440933
11,0.9945892323265106
12,0.9946108679032726
13,0.9946077250477288
14,0.994602845970377
15,0.9940417412916095
16,0.9944481900838514
17,0.9940728791059162
18,0.994543874307687
19,0.9941214729800663
20,0.9945698852200141
21,0.9945773814208309
22,0.994613953076871
23,0.9944899589626643
24,0.9943191303185072
25,0.9940288658695074
26,0.9944856939613025
27,0.9940112672899782
28,0.9945346398827903
29,0.9943623052099159
