trial,auprc
0,0.9943167124502222
1,0.9953751096040828
2,0.9950677013550586
3,0.9953389078324486
4,0.9950700489547435
5,0.9951546341024128
6,0.9952974794755313
7,0.9942660997317752
8,0.9952297553660916
9,0.9952601852022724
10,0.9946193222532148
11,0.9931100754449018
12,0.9949808691351343
13,0.9938549571003006
14,0.9950610520948853
15,0.9950457860575251
16,0.9955928021057959
17,0.9945476602289828
18,0.9956011599415414
19,0.9955811229316607
20,0.9948348489265091
21,0.9945879612240102
22,0.9953975198176005
23,0.994214955618036
24,0.9941926507382576
25,0.9955997789751131
26,0.9950615813478945
27,0.9954355545000594
28,0.9955118273837664
29,0.9955573812721517
